cod,sample_text
aa,Wikipedia bödero kœáth amliethog e rhyδ gē gell tō un gelœga. Denn grëað zero œáthws ar ðechre di zera...
ab,Авикипедиа (англ. Wikipedia) — зхы иақәиҭу аенциклопедиа.
af,"Wikipedia is 'n veeltalige ""kopielinkse"" ensiklopedie ontwerp om deur enigiemand gelees, verbeter en..."
ak,"Kyerɛ Twi kasa a atwerɛsɛm yi ɛwɔ mu. Kasa ahorow a wobɛtumi akyerɛ ɛne: Akuapem, Asante, Fante. Wikipedia..."
am,ውክፔዲያ የባለ ብዙ ቋንቋ የተሟላ ትክክለኛና ነጻ መዝገበ ዕውቀት (ኢንሳይክሎፒዲያ) ነው። ማንኛውም ሰው ለውክፔዲያ መጻፍ ይችላል። ውክፔዲያ፣ ውክሚዲያ የተባለ...
an,Biquipedia (Wikipedia en anglés) ye una enciclopedia de contenito libre alazetada en a tecnolochía wiki…
ar,ويكيبيديا (تلفظ ‎[wi:ki:bi:dija:]‏ وتلحن ‎[wikipi:dia]‏؛ تلفظ بالإنجليزية ‎/ˌwɪkiˈpi:di.ə/‏) والكلمة...
as,"ৱিকিপিডিয়া (ইংৰাজী: Wikipedia) হৈছে অব্যৱসায়িক ৱিকিমিডিয়া ফাউণ্ডেছন সমৰ্থিত এখন মুক্ত, ৱেব-ভিত্তিক..."
av,"Википе́дия (ингл. Wikipedia, абула [ˌwɪkɨˈpiːdiə] яги [ˌwɪkiˈpiːdiə]) — эркенаб, щивасул жинде изну бугеб..."
ay,"Wikipidiya (Wikipedia) Uñt’anak panka (Insiklupidiya)Aruskipasipxañanakasakipunirakispawa. Awatkipasipxañanakasakipunirakispawa…"
az,"Vikipediya (ing. Wikipedia) — İnternetdə azad şəkildə yayımlanan, dünyanın bir çox dillərində viki texnologiyasının..."
ba,"Википедия (ингл. wikipedia  әйтелеше ) — төрлө телдә яҙылған, сикләүһеҙ ҡулланыуҙа булған ирекле интернет..."
be,"Вікіпедыя (англ.: Wikipedia) — шматмоўная, свабодная інтэрнэт-энцыклапедыя, якая ствараецца супрацоўніцтвам..."
bg,"Уикипедия (на английски: Wikipedia, произнасяно /ˌwɪkɪˈpiːdɪə/) е многоезична, уеб базирана енциклопедия..."
bh,वर्चुअल इंटरनेशनल ऑथारिटी फाइल (वी॰आइ॰एफ॰ए॰ (VIAF)) एगो इंटरनेशनल ऑथारिटी फाइल ह। ई कई गो राष्ट्रीय ल...
bi,Wikipedia i wan insaeklopidia we i fri. Olgeta oli save jenisem hem blong mekem infomesen insaed long...
bm,Wikipedia ye sude ɔnsiklopedi tabolo kura ye an bee bisee ka min labaara nyɔgɔn fɛ. Wikipedia yɛ wiki...
bn,"উইকিপিডিয়ার অ-বিশ্বকোষীয় পরিদর্শক পরিচিতির জন্য, দেখুন উইকিপিডিয়া:বৃত্তান্ত।উইকিপিডিয়া একটি সম্ম..."
bo,"ཆམ་ཚང་པདྨ་ལྷུན་གྲུབ་ཀྱི་ལོ་རྒྱུས་སྙིང་བསྡུས། ཆམ་ཚང་པདྨ་ལྷུན་གྲུབ ༡༩༧༢ལོར་བོད་མདོ་སྨད་གཅན་ཚ་ཆོས་ཚང་མའ..."
br,"Wikipedia (da vezañ distaget /wiˌkipeˈdiːa/ e brezhoneg) zo un holloueziadur digor, dindan an aotre-implijout..."
bs,Wikipedia je slobodna enciklopedija koju razvijaju dobrovoljci pomoću softvera MediaWiki. Wikipediju...
ca,"La Viquipèdia (Wikipedia en anglès, manlleu del hawaià wikiwiki –pronunciat amb variació lliure /ˈvikiˈviki/..."
ce,"Шира́з (гӀаж. شیراز — Širâz) — ГӀажарийчоьнан къилбера гӀала, Фарс провинцин административан центр, бахархойн..."
ch,Wikipedia i dibatde na proyektun ensaiklopidia nai minaneneha nu i Wikimedia Foundation. I Wikipedia...
co,"A Wikipedia hè una enciclopedia libara nant'à l'internet fundata da Jimmy Wales è Larry Sanger, in u..."
cr,Caltagirone ᒥᓂᔥᑎᒄ ᐋᒨ ᐅᑌᓈᐤ ᐊᑎᒼ Sicilia.
cs,Wikipedie (anglicky a v mnoha dalších jazycích Wikipedia) je mnohojazyčná online encyklopedie vytvořená…
cu,Википє́дїꙗ · англїискꙑ Wikipedia /ˌwɪkɪˈpiːdɪə/ идє ⁖ вики ⁖ ис хаваискаѥго ѩꙁꙑка поѩто ѥстъ · а ⁖ -пєдїꙗ...
cv,"2002 Дан Википедийĕ — Википедин дан чĕлхиллĕ уйрăмĕ. 2006 çулхи юпа уйăхĕнче уйрăм 50 пин статьЯ чиккинчен..."
cy,"Gofal: ceir erthygl arall, gydag enw tebyg, sef Wicipedia.Gwyddoniadur rhyngwladol, amlieithog a reolir..."
da,"Ikke at forveksle med asteroiden (274301) Wikipedia Wikipedia er en internetencyklopædi, der forekommer..."
de,"Die Wikimedia Foundation, Inc. (WMF), deutsch: Wikimedia-Gesellschaft, ist ein gemeinnütziges Unternehmen…"
dv,"== Cannot view this language. ==I cannot view the language that this Wikipedia is written in...it just..."
dz,"འབྲུག་ཡུལ་ Bhutan has not won a Olympic medal yet == འབྲུག་ཡུལ་གྱི་ལོ་རྒྱུས་མདོར་བསྡུས། རྨ་མགུར་སངས... =="
ee,Canada nye Amerika dukɔwo dometɔ ɖeka.
el,"Η Βικιπαίδεια (αγγλικά: Wikipedia, προφορά: γουικιπίντια) είναι διεθνής, παγκόσμια, ψηφιακή, διαδικτυακή..."
en,"Wikimedia Foundation, Inc. (WMF, also colloquially referred to as Wikimedia) is a nonprofit organization..."
eo,"Vikipedio (angle Wikipedia [ŭikipidia]) estas interreta, plurlingva reta enciklopedio kun enhavo laŭ..."
es,"Wikipedia es una enciclopedia libre,[nota 2]​ políglota y editada de manera colaborativa. Es un proyecto…"
et,Vikipeedia (inglise keeles Wikipedia /ˌwɪkɨˈpiːdiə/ või /ˌwɪkiˈpiːdiə/) on paljukeelne veebipõhine vaba...
eu,"Wikipedia eduki askeko entziklopedia bat da, lankidetzaz editatua, eleanitza, Interneten argitaratua..."
fa,ویکی‌پدیا (به انگلیسی: Wikipedia) (کوته‌نوشت به‌صورت «وپ» و «WP») یک دانشنامه برخط چندزبانه مبتنی بر...
ff,"Innde.  alla yettaama  baŋngeeje fof. (pellital ngenndi, tiba witto dow jeeri.).  Laawol danndoore ko..."
fi,"Wikipedia on Internetissä julkaistava ilmainen vapaan sisällön tietosanakirja, joka perustuu MediaWiki..."
fj,Wikipedia (/ˌwɪkɪˈpiːdiə/ (listen) wik-ih-PEE-dee-ə or /ˌwɪkiˈpiːdiə/ (listen) wik-ee-PEE-dee-ə) e veivosa...
fo,"Wikipedia er ein alfrøði við opnum innihaldi, skrivað í samarbeiði millum sínar brúkarar. Wikipedia verður..."
fr,Wikipédia  est une encyclopédie universelle et multilingue créée par Jimmy Wales et Larry Sanger le 15...
fy,"Wikipedy is in iepen, rjochtenfrije ensyklopedy, dy't troch elkenien bewurke wurde kin. It wurd is in..."
ga,"Ciclipéid, ghréasán-bhunaithe, ilteangach, is ea an Vicipéid (i.e. Wikipedia agus na tionscnaimh ata..."
gd,Tha Uicipeid /ˈuçkʲɪpetʲ/ 'na làrach mòr-eòlais ioma-chànanach a tha an asgaidh. Chaidh a thòiseachadh...
gl,"Para ver unha introdución non enciclopédica para os visitantes do que é a Wikipedia, véxase Wikipedia..."
gn,"Vikipetã ha'e opaite tembikuaa hekosãsóva renda Internet rupive ha iñe'ẽ heta, opa tekove ikatu ohai…"
gu,"ખ્રિસ્તી ધર્મ દુનિયામાં સૌથી મોટો ધર્મ છે. આ ધર્મ ઈશુ ખ્રિસ્ત પર કેન્દ્રિત છે. == પરિચય == ખ્રિસ્તી ધર..."
gv,Ta Wikipedia ny chicklipaid lectraneagh yl-hengagh heyr ta ry-gheddyn er yn eddyr-voggyl. V'ee currit...
ha,Wikipedia wani babban farfajiyar Manhaja ce dake tattare da Muƙalolin kundin bayanai akan ilimomi daban...
he,"ויקיפדיה (באנגלית: Wikipedia) היא אנציקלופדיה מקוונת רב-לשונית, המבוססת על תוכן חופשי ומשתמשת בטכנולוגיית..."
hi,"विकिपीडिया  एक मुफ्त, वेब आधारित और सहयोगी बहुभाषी विश्वकोश है, जो गैर-लाभ विकिमीडिया फाउनडेशन से सहय..."
hr,"Wikipedija (wiki na havajskom brzo ili požuriti i -pedija) višejezična je, na Webu zasnovana enciklopedija..."
ht,"Wikipedya se yon ansiklopedi lib, ki pa koute lajan e ki egziste nan plizyè lang. Nenpòt ki moun ka patisipe..."
hu,"A Wikipédia többnyelvű, nyílt tartalmú, a nyílt közösség által fejlesztett online világenciklopédia,…"
hy,"Վիքիպեդիա, ազատ բովանդակությամբ, բազմալեզու հանրագիտարանային նախագիծ, որին հովանավորում է շահույթ չհետապնդող..."
ia,Wikipedia [wikipeˈdia] es un projecto de Wikimedia sin scopo lucrative fundate le 15 de januario 2001...
id,Wikipedia ( ( simak) wik-IH-pee-DEE-ə atau  ( simak) wik-EE-pee-DEE-ə) adalah proyek ensiklopedia multibahasa...
ie,Wikipedia es un projecte por li creation de un internet lexico in pluri lingues. Li notion Wikipedia...
ig,Wikipedia (IPA: /ˌwikiˈpiːdi.ə/ or /ˌwɪkiˈpiːdi.ə/ (Audio (U.S.) (help·info))) bụ edemede eji asụsụ dị...
ik,Uiqipitia (Naluaġmiutun: wikipedia) website-auruq. Uiqipitia nappairuq info makpiġaa kamanałhaaqtuq....
io,"Wikipedia od Wikipedio per l'idala formo, esas grandega projeto por konstruktar kompleta enciklopedio..."
is,"Wikipedia (www.wikipedia.org) er frjálst alfræðirit sem er búið til í samvinnu, með svokölluðu wiki kerfi..."
it,"Wikipedia (pronuncia: vedi sotto) è un'enciclopedia online a contenuto libero, collaborativa, multilingue..."
iu,"ᒪᓱᓕᖓᔪᖅ ᐅᐃᑭ ᖃᕆᓴᐅᔭᒃᑯᑦ ᑎᑎᕋᖅᓯᒪᔪᑦ ᕿᒥᕐᕈᐊᑦ ᑭᓇᑐᐃᓐᓇᖅ ᐱᔪᖕᓇᖅᑐᖅ ᑎᑎᕋᕐᕕᒋᕚ. ᑖᓐᓇ ᓇᐃᑦᑐᒥᒃ ᐅᖃᓕᒫᕐᕕᒃ ᐃᑲᔪᖅᑕᐅᔭᕆᐊᖃᖅᑐᑦ.  ᐱᐅᓯᕚᓪᓕᖅᑎᑦᑎᓂᕈᓐᓇᖅᑐᑦ..."
ja,ウィキペディア（英: Wikipedia）とは、世界中のボランティアの共同作業によって執筆及び作成されるフリーの多言語インターネット百科事典である。収録されている全ての内容がオープンコンテントで商業広告が存在しないということを特徴とし…
jv,Wikipédia (pangucapan: Wi·ki·pæ·di·a utawi Wi·ki·pi·di·a) punika proyèk ensiklopedia multibasa salebetipun...
ka,"ვიკიპედია (ინგლ. Wikipedia) — მრავალენოვანი, თავისუფალი ვიკი-ენციკლოპედია. გაიშვა 2001 წლის 15 იანვარს..."
kg,"== Mâmbu ya mfunu =="
ki,Gĩkaro kĩria kĩ mathangű maingĩ műno mandikitwo na thiomi cia kiabirika rurendaini. Műndű űkwenda kwandika...
kk,"Уикипедия (ағылш. Wikipedia, ХФӘ: /ˌwiːkiːˈpiːdi.ə/, не /ˌwɪkiːˈpiːdi.ə/, немесе /ˌwɪkɪˈpiːdi.ə/) — Уики..."
kl,"Wikipedia tassaavoq leksikoni ammasunik imalik, atuisut suleqatigiinnerisigut allanneqartoq. Wikipedia..."
km,
kn,This article incorporates information from this version of the equivalent article on the English Wikipedia...
ko,"위키백과(위키百科, IPA: [ɥikçibɛ̝k̚k͈wa̠], [ykçibɛ̝k̚k͈wa̠] ( )) 또는 위키피디아(영어: Wikipedia, IPA: [ˌwɪkɪˈpiːdɪə]..."
ks,کأشُر وِکیٖپیٖڈیا چھُ وِکیٖپیٖڈیاہُک کأشُر مَنصوٗب۔ کٲشِرس وِکیٖپیٖڈیاہَس پؠٹھ چھِ کُل 1٬039 مَضموٗن...
ku,"Wîkîpediya (bi înglîzî: Wikipedia), ensîklopediyeke azad bi rengê wîkî ye. Projeyeke vekirî ye, her kes..."
kv,"Новиаль (novial — выль войтыркостса отсасян кыв) — лӧсьӧдӧм войтыркостса кыв, лӧсьӧдысь — Данияса кыв..."
kw,"Wikipedya yw godhoniador liesyethek gans dalgh igor, gruthys ha mentenys gans bodhogyon dre vedhelweyth..."
ky,"Wikipedia Zero – Wikimedia фондунун долбоору. Долбоордун башкы максаты – мобилдик түзүлүштөрдөн, айрыкча..."
la,Vicipaedia (Vicipædia quoque videtur) est encyclopaedia fontium apertorum interretialis ac contentis...
lb,"Wikipedia ass eng fräi multilingual Enzyklopedie, déi vu Fräiwëllege geschriwwe gëtt an um Wikikonzept…"
lg,Wikipedia gwe mukutu ogukwataganya ennimi ez’enjawulo ezekenneenyezeddwa nga guwandiikibwako abantu ab...
li,Dit artikel is gesjreve (of begós) in 't Nuts. Laes hie wie v'r mit de versjillende saorte Limburgs ómgaon...
ln,"Wikipedia eza búku ya nbimbola to encyclopédie óyo. Bato batángaka yango, bakomaka yango."
lo,ປະເທດຈີນຖືວ່າເປັນປະເທດທີ່ມີການຄວບຄຸມໂລກອອນລາຍຢ່າງເຂັ້ມງວດ ແລະ ຕ່ອນນີ້ກໍເປັນຂອງ Wikipedia ທີ່ Open Observatory...
lt,Straipsnis apie Vikipediją lietuvių kalba – Lietuviškoji Vikipedija.Vikipedija (angl. Wikipedia) – interneto...
lv,"Vikipēdija (Wikipedia) ir brīva, daudzvalodu enciklopēdija ar bezmaksas saturu, kuras ikdienas darbību..."
mg,Wikipedia (avy amin'ny teny hawaiianina: wiki; ) dia tranonkala iraisam-pirenena Web azo ampiasaina maimaimpoana...
mi,He mātāpunenga utukore te Wikipedia.
mk,Википедија (англиски: Wikipedia) — семрежна енциклопедија со слободна содржина отворена за читање и менување...
ml,എല്ലാ ഭാഷകളിലും സ്വതന്ത്രവും സമ്പൂർണവുമായ വിജ്ഞാനകോശം നിർമ്മിക്കുവാനുള്ള ഒരു കൂട്ടായ സംരംഭമാണ് വിക്ക...
mn,Википедиа (англ. Wikipedia) — Америкийн Викимедиа сан хэмээх төрийн бус байгууллагын сервер дээр хадгалагдсан...
mr,"विकिपीडिया (Wikipedia) हा महाजालावर वापरता येण्याजोगा, विविध भाषांत उपलब्ध असणारा आणि सामूहिक सहकार्य..."
ms,Wikipedia (Jawi: ‏ويكيڤيديا‎‎) ialah sebuah ensiklopedia yang boleh diubah suai dan dibina secara kerjasama...
mt,"Il-Wikipedija hija enċiklopedija ħielsa li kulħadd jista' jimmodifika. Politika u linji gwida"
my,ဝီကီပီးဒီးယား ဆိုသည်မှာ အမေရိကန်ပြည်ထောင်စု အခြေစိုက် ပရဟိတ အဖွဲ့အစည်း ဝီကီမီဒီယာဖောင်ဒေးရှင်းမှ ဦးဆ...
na,"Wikipediya, bet Wikipedia, won entsikropidiya emenengame. == Wikipediyas ===== 1,000,000+ peij === Dorerin..."
nb,Denne artikkelen nevner Wikimedia eller et av Wikimedias prosjekter. Vær oppmerksom på at Wikipedia er…
ne,"जिमी डोनाल ""जिम्बो"" वेल्स (अङ्ग्रेजी:Jimmy Donal ""Jimbo"" Wales ) जन्म ७ अगस्ट १९६६) एक अमेरिकी इन्टरन..."
ng,"Nonarkobele lama Wikipedia, ast harranga nekofungama ar sefala angubo andusat. == Links == Hambili Tarkerazu..."
nl,"Wikipedia is een meertalige internetencyclopedie, die door vrijwillige auteurs wordt geschreven. Wikipedia..."
nn,Wikipedia er eit fritt oppslagsverk skrive på dugnad av brukarane ved hjelp av wiki-programvare. Wikipedia…
no,Denne artikkelen nevner Wikimedia eller et av Wikimedias prosjekter. Vær oppmerksom på at Wikipedia er…
nv,
ny,"Wikipedia ndi ma multilingual, web-based, encyclopedia yaulere yotengera chitsanzo cha zinthu zowonongeka..."
oc,"Wikipèdia (prononciat [lg./ga. wikiˈpɛðjɔ/bikiˈpɛðjɔ, pr. wikiˈpɛdjɔ/vikiˈpɛdjɔ, ni./va. wikiˈpɛdja/vikiˈpɛdja..."
om,Kuttaayee-Liiban/Gindabarat aanaa godina Shaggar Dhihaa keessaa tokko. Aanaan kun kan argamu kaabaa godina...
or,ଉଇକିପିଡ଼ିଆ ( (listen) wik-IH-PEE-DEE-ə or  (listen) wik-EE-PEE-DEE-ə; Odia: [uikipiɽiaː] (listen)) ଏକ...
os,Википеди (англ. Wikipedia) у æнгомæй ивгæ бирæвзагон сæрибар энциклопеди. Йæ бындурæвæрæг æмæ æххуысгæнæг...
pa,"ਵਿਕੀਪੀਡੀਆ (ਅੰਗ੍ਰੇਜ਼ੀ: Wikipedia) ਇੱਕ ਬਹੁਭਾਸ਼ਾਈ ਆਨਲਾਈਨ ਵਿਸ਼ਵਕੋਸ਼ ਹੈ, ਜੋ ਇੱਕ ਖੁੱਲੇ ਸਹਿਯੋਗ ਪ੍ਰੋਜੈਕਟ ਵਜੋ..."
pi,"This article is a  is a stub. You can help Wikipedia by expanding it. गणितं  == अभिञ्ञाणा =="
pl,Wikipedia – wielojęzyczna encyklopedia internetowa działająca zgodnie z zasadą otwartej treści. Funkcjonuje…
ps,ويکيپېډيا (انګليسي: Wikipedia) د اېنټرنټ پر مټ د وړيا مېنځپانگې يو گڼ ژبنيز پوهنغونډ دی چې د داوطلبو...
pt,"A Wikipédia é um projeto de enciclopédia multilíngue de licença livre, baseado na web e escrito de maneira..."
qu,"Wikipidiya (inlish simipi, kastilla simipi: Wikipedia) nisqaqa qispi insiklupidiyam, Jimbo Wales sutiyuq…"
rm,La Vichipedia (era nunmnada Wikipedia) è in'enciclopedia libra che stat a disposiziun gratuitamain sin...
rn,"Michael Joe Jackson (* 29.8.1958, Gary, Indiana). This article is a stub. You can help Wikipedia by..."
ro,"Wikipedia (pronunțat în română [wikiˈpedi.a] sau [vikipeˈdi.a], iar în engleză /ˌwɪkiˈpiːdi.ə/ ▶) este..."
ru,"Википе́дия (англ. Wikipedia, произносится [ˌwɪkɨˈpiːdiə] или [ˌwɪkiˈpiːdiə]) — общедоступная многоязычная..."
rw,"Is a Rwandan Wikimedian, a co-founder of the Wikimedia community user group in Rwanda. Holding a Bachelors..."
sa,"विकिपीडिया तु कश्चन निःशुल्कः, अन्तर्जालाधारितः, सहकारसम्भवः, बहुभाषात्मकः विश्वकोषः अस्ति। एषः तु व..."
sc,"Wikipedia est una entziclopedia multilìngue a cuntènnidu lìberu, iscrita dae boluntàrios chi traballant…"
sd,"وڪيپيڊيا(Wikipedia)   (اچار  /ˌwɪkiˈpiːdi.ə/ يا /ˌwiki-/) (تلفظ: /ˌwɪkɨˈpiːdiə/ or /ˌwɪkiˈpiːdiə/ WIK..."
se,Wikipedia lea máŋggagielat prošeakta man ulbmilin lea ráhkadit almmolaš diehtosátnegirjji gosa gii beare…
sh,"Wikipedia (engl. izg. [ˌwɪkiˈpiːdiə], od engl. wiki (viki) + [encyclo]pedia ([enciklo]pedija)), internetska…"
si,"මානව  ක්‍රියාකාරකම්  හා  ස්බාව්ක  ආපද විකිපීඩියා (/En-uk-Wikipedia.oggˌwɪkɪˈpiːdi.ə/ or /en-us-Wikipedia..."
sk,"Wikipédia je internetová encyklopédia s otvoreným obsahom, ktorú možno slobodne upravovať a čítať. Je…"
sl,"Fundacija Wikimedia (izvirno angleško Wikimedia Foundation, Inc.) je ameriška dobrodelna organizacija..."
sm,"Wikipedia (Faalogo: wɪkᵻˈpiːdiə/) o se saoloto-avanoa, saoloto-mataupu Encyclopedia Initoneti, lagolagoina..."
sn,Iyi ndiyo runyorwa rwemashoko akasiyana emitauro ye Wikipidhiya; kubva munaJuly 2018 kune 301 Wikipedias...
so,[[xasan saleebaan dhuxul  wuxu ku dhashay magaalada gabilay tuulo u jirta 25km 1982 logo-v2.svg|340px...
sq,Wikipedia (Shqiptimi: Uikipedia; gjithashtu dhe si Vikipedia) është një projekt për të krijuar një enciklopedi...
sr,Википедија (енгл. Wikipedia) јесте енциклопедијски пројекат слободног садржаја на интернету који развијају…
ss,"Wikipedia, i-encyclopedia yamahhala lengahlelwa ngunome ngubani. Ucála: 2001 == Live == Bantfu: 6.339..."
st,"Kapa Botjhabela ke porofensi ya Afrika Borwa‎. == Tsela ==  Kapa Botjhabela. == Ditsela == (Senyesemane..."
su,"Wikipédia nyaéta énsiklopédi nu dijieun ngagunakeun software wiki. Hartina, singsaha waé dihaturan ilubiung..."
sv,Wikipedia (svenskt uttal: [vɪkɪ'peːdɪa]) är en wiki och en mångspråkig webbaserad encyklopedi. Den har...
sw,Wikipedia ni kamusi elezo huru ya lugha nyingi katika mtandao wa wavuti. Inalenga kukusanya elimu nyingi...
ta,"விக்கிப்பீடியா (Wikipedia;  (கேட்க) wik-ih-PEE-dee-ə அல்லது  (கேட்க) wik-ee-PEE-dee-ə) என்பது, வணிக ந..."
te,ఇంగ్లీష్ వికీపీడియా లేదా ఆంగ్ల వికీపీడియా అనగా ఉచిత ఆన్లైన్ ఎన్సైక్లోపీడియా వికీపీడియా యొక్క ఆంగ్ల ఎడ...
tg,
th,วิกิพีเดีย ( ( ฟังเสียง) wik-ih-PEE-dee-ə หรือ  ( ฟังเสียง) wik-ee--) เป็นสารานุกรมเนื้อหาเสรีหลายภาษาบนเว...
ti,ዊኪፐድያ ናጻ፣ ሕብረ ልሳናውን ብሓባራዊ መንገዲ ዝተመዓራረየን ኢንሳይክሎፐድያ (መዘገበ ፍልጠት) እዩ። ኣብ መርበብ ናጻ ኢንሳይክሎፐድያ ንምፍጣር ፕሮጀክት እዩ...
tk,"Wikipediýa, ulanyjylary tarapyndan bilelikde birnäçe dilde taýýarlanan, erkin, garaşsyz, tölegsiz, mahabatsyz..."
tl,Ang Wikipedia ay isang ensiklopedya na may basehang wiki at may malayang nilalaman. Ito ay tinatawag...
tn,"Wikipedia, Ke ensaeclopidia ya mahala. E botlhokwa e le tota go dirisediwa go ka tlaleletsa dithuto...."
to,"This is the wikipedia for the language of TONGA, Polynesia, South Pacific. Ceci est la wikipédia en tongien..."
tr,"Vikipedi (İngilizce: Wikipedia), kullanıcıları tarafından ortaklaşa olarak birçok dilde hazırlanan; özgür..."
ts,"Wikipediya  i nghula ya vutivi ya mahala, tindzimi to hambana-hambana, naswona phurojeki leyi yikongomisiwa..."
tt,"Википе́дия (ингл. Wikipedia, /ˌwɪkɪˈpiːdɪə/ буларак укыла) — эченә һәркем яза алган ачык эчтәлекле, күптелле..."
tw,"Wɔatwerɛ nsɛm wei ɛwɔ Asante kasa mu Wikipedia yɛ abɛɛfo ntanɛɛte nimdeɛ-nyinaa beaeɛ a obiara tumi twerɛ..."
ug,
uk,"Вікіпе́дія (англ. Wikipedia, МФА: [ˌwɪkɪˈpiːdɪə]) — загальнодоступна вільна багатомовна онлайн-енциклопедія..."
ur," == واقعات == 1986ء 	پشاور ڈرائی پورٹ کا افتتاح ہوا  1985ء 	جرمنی کے بورس بیکر ومبلڈن جتنے والے دنیا کے..."
uz,"Vikipediya — bu koʻp tillik, erkin, internet ensiklopediya. U koʻngillilar tomonidan ochiq hamkorlik..."
ve,Wikipedia ndi tshiko tsha ndivho kana ngeletshedzo ya zwithu ya mahala ire muyani yo nwalwaho nga dzinyambo...
vi,Wikipedia ( () WIK-i-PEE-dee-ə hoặc  () WIK-ee-PEE-dee-ə) là một bách khoa toàn thư mở trực tuyến đa…
vo,Vükiped (Wikipedia) binon sikloped libik. Vükiped binön lejedön su 2001 yanul 15 fa Jimmy Wales e Larry...
wa,"Wikipedia est ene libe et franke eciclopedeye avou tos des lingaedjes, sicrîte pa des bénvlants so l..."
wo,"Wikipedia (di jàng wikipediyaa) ab sémbub jimbulang la ci web bi, di lu àddunawu te bariylàkk. Ag bindam..."
xh,"I-Wikipedia yi-encyclopedia enokuthenjwa yamahhala e-intanethi, iprojekti ejolise ekudaleni umsebenzi..."
yi,װ‫יקיפּעדיע איז אַ פֿילשפּראַכיקער פּראָיעקט (לעת עתה:288 שפּראַכן) צו שאַפֿן אַ גענױע און פֿולשטענדיקע...
yo,Wikipedia jé isé owó òpòlopò àwon ènìyàn kâkiríayé láti se ìwé ìmò tó jé òfé ni òpòlopò èdè ni òrí Internet...
za,"Esperanto- lingvo internacia - Alfabeto de Esperanto Wikipedia Bildvortaro Esperanto, a, b, c - ĉinia…"
zh,維基百科（英語：Wikipedia，/ˌwɪkɪˈpiːdiə/ 或 /ˌwɪkiˈpiːdiə/）是维基媒体基金会运营的一个多语言的線上百科全書，并以创建和维护作为开放式协同合作项目，特点是自由內容…
zu,"Wikipedia (Lalela /ˌwɪkɨpiːdiə/ nobe Listeni /ˌwɪkipiːdiə/ Wik-i-pee-dee-ə)ifinyeleleka mahala, kutholakala..."
